SOW Product Name,Canonical SKU,Collection,Length,Depth,Height,Arm Height,Sit Height,Base Weight,MSRP,Allowed Option Categories
"OCEAN OTTOMAN 72"" x 22"" x 16""",FIN-OCN-OTT-72X22,Ocean,72,22,16,,16'',,"$1,480.00",Fabric|Powder
"CUBE OTTOMAN 22"" x 22"" x 16""",FIN-MIS-OTT-22X22,Miscellaneous,22,22,16,,"16""",,$650.00,Fabric|Powder
"CUSTOM STORAGE OTTOMAN 22"" x 72"" x 23""",FIN-CUS-OTT-22X72,Miscellaneous,22,72,23,,22'',,"$1,950.00",Fabric|Powder
"BRAVADA SWING 66"" x 42"" w/FRAME x 84""",FIN-BRV-SWG-66X42,Bravada,66,42,84'',22'',16'',,"$7,280.00",Fabric|Powder|Dekton|Pillow
"BRAVADA SWING FRAME ONLY 66-72"" x 42"" x 84""",FIN-BRV-SWG-72X42,Bravada,72,42,84,,,,"$3,200.00",Fabric|Powder|Dekton|Pillow
"BRAVADA SWING FRAME ONLY 84""+ Thicker Gauge",FIN-BRV-SWG-84,Bravada,,,,,,,"$4,200.00",
"BRAVADA SWING 72"" x 42"" w/FRAME",FIN-BRV-SWG-72X42,Bravada,72,42,"84""",22'',16'',,"$8,240.00",Fabric|Powder|Dekton|Pillow
"BRAVADA SWING 84"" x 42"" x 23"" BH",FIN-BRV-SWG-84X42,Bravada,84,42,23,16'',10'',,"$4,900.00",Fabric|Powder|Dekton|Pillow
"CABANA DAYBED 84"" x 84"" x 78""",FIN-CAB-DYB-84X84,Cabana,84,84,78,28'',18'',,"$7,980.00",
CABANA 10' X 10' X 9' w/Sunbrella Top & Curtains,FIN-CAB-MIS-10X10,Cabana,10,10,,,,,"$14,000",
LUMBAR PILLOW (alt size),FIN-CAB-MIS,Cabana,,,,,,,$120.00,Fabric
FLEXY TWIN NO BASE,FIN-ESY-MIS,Flexy,,,,,,,"$8,500.00",
FLEXY TWIN BASE,FIN-ESY-MIS,Flexy,,,,,,,"$2,100.00",
FLEXY ZEN COVER,FIN-ESY-MIS,Flexy,,,,,,,$450.00,
"FLEXY ZEN SHADE SYSTEM, NO BASE",FIN-ESY-MIS,Flexy,,,,,,,"$11,750.00",
FLEXY ZEN SHADE SYSTEM BASES,FIN-ESY-MIS,Flexy,,,,,,,"$7,000.00",
ADD IRONWOOD (2 ARMS),FIN-ESY-MIS,Flexy,,,,,,,$200.00,
PILLOW FOR LOUNGERS W/POCKET,FIN-TJM-MIS,Tenjam,,,,,,,$154.99,
ONE 4 LB. COATED LEAD WEIGHT,FIN-TJM-MIS,Tenjam,,,,,,,$59.99,
TWO 4 LB. COATED LEAD WEIGHTS (8 LBS. TOTAL),FIN-TJM-MIS,Tenjam,,,,,,,$94.99,
"TWO SHAYZ LOUNGERS & TWO SETS OF 4"" RISERS, FOR 9"" DEPTH",FIN-TJM-MIS,Tenjam,,,,,,,"$1,749.99",
"TWO SHAYZ LOUNGERS & TWO SETS OF 8"" RISERS, FOR 13"" DEPTH",FIN-TJM-MIS-13,Tenjam,,,,,,,"$1,849.99",
"TWO SHAYZ LOUNGERS & TWO SETS OF 12"" RISERS FOR 17"" DEPTH",FIN-TJM-MIS-12X17,Tenjam,,,,,,,"$1,849.99",
MIBSTER CHAIR W/CUP HOLDERS,FIN-TJM-CHA,Tenjam,,,,,,,$749.99,
MARINA 2x2 UMBRELLA NO BASE,FIN-MLN-UMB,Marina,,,,,,,$700.00,
MARINA UMBRELLA COVER,FIN-MLN-UMB,Marina,,,,,,,$100.00,
"OCCASIONAL TABLE 56""x14""x36""",FIN-MLN-TAB-56X14,Marina,56,14,36,,,,"$3,080.00",
FABRICATED DEKTON SLAB,FIN-MLN-MIS,Marina,,,,,,,"$4,000.00",
CANTILEVER UMBRELLA COVER,FIN-MLN-UMB,Marina,,,,,,,$150.00,
"CUSTOM STORAGE OTTOMAN 23"" x 82""",FIN-CUS-OTT-23X82,Miscellaneous,23,82,,,22'',,"$2,150.00",Fabric|Powder
FLEXY ZEN TWIN BASE,FIN-ESY-MIS,Flexy,,,,,,,$500.00,
FLEXY ZEN BASE,FIN-ESY-MIS,Flexy,,,,,,,,
UNFABRICATED DEKTON SLAB,FIN-ESY-MIS,Flexy,,,,,,,"$2,500.00",
WEATHERPROOF COVERS,FIN-ESY-MIS,Flexy,,,,,,,,
ADD-ON WHEELS FOR CHAISE LOUNGERS,FIN-ESY-CHS,Flexy,,,,,,,$200,
